customer_id,first_name,last_name,email,phone,street_address,city,state,postal_code,country,signup_date,loyalty_score
1,Denise,Walker,jpeterson@gmail.com,001-831-603-4131,1559 Roman Stream,Mariastad,CO,72858,USA,2024-09-21,63.94
2,Henry,Santiago,clarksherri@hotmail.com,(626)291-6697,7242 Julie Plain Suite 969,Port Brandonville,NY,65187,USA,2021-11-03,2.5
3,Gerald,Carter,john39@gmail.com,+1-557-287-1331x50983,227 Joseph Well,Lake Larry,WV,96174,USA,2021-06-21,27.5
4,Susan,Heath,rodney70@hotmail.com,831.978.1080x132,Unit 1065 Box 1333,South Isaiah,AP,59301,USA,2024-12-17,22.32
5,Stephanie,Martin,yorkcasey@gmail.com,6794911838,93990 Robert Prairie Suite 435,Stephenland,TN,85108,USA,2023-11-02,73.65
6,Jaclyn,Moore,william40@gmail.com,4535315869,05242 Arnold Meadow Apt. 112,North Kyle,FL,56834,USA,2022-04-01,67.67
7,Allison,Doyle,joshua14@yahoo.com,+1-835-661-5951x48465,14294 Daniel Mews Suite 569,Smithside,KS,06318,USA,2025-08-01,89.22
8,Mary,Gray,donnacampbell@hotmail.com,(501)363-2870,43320 John Mountains,Snyderbury,ID,94656,USA,2024-10-01,8.69
9,Mary,Travis,luis81@gmail.com,(670)854-6688x9373,316 Rivera Mountain,Port Nicoleshire,MS,77057,USA,2024-12-30,42.19
10,Maureen,Yates,brentgray@gmail.com,393-474-5299,6417 Kaitlyn Center Suite 310,East Thomas,RI,20474,USA,2023-07-07,2.98
11,Tanya,Johnston,xgarcia@hotmail.com,001-779-696-5075x27354,2849 Marshall Views,Nicolebury,MP,11860,USA,2023-03-21,21.86
12,Cheryl,Allen,michael74@yahoo.com,001-682-940-0842x710,1823 Joanna Harbor,Harrytown,LA,30317,USA,2024-12-09,50.54
13,Vincent,King,chayes@yahoo.com,520-667-9740,Unit 4990 Box 9133,East Johnside,AA,87064,USA,2023-04-10,2.65
14,David,Baker,cassandra01@gmail.com,(265)951-2567x468,490 Thomas Run,Costafort,OR,57633,USA,2021-08-13,19.88
15,Brian,Barton,omartinez@hotmail.com,(877)737-8263x98214,8086 Jeffrey Ville,Williamview,NM,94427,USA,2025-03-09,64.99
16,Douglas,Evans,ymcneil@hotmail.com,+1-515-386-5780x9134,89517 Alicia Motorway,Matthewfurt,CA,62038,USA,2024-07-23,54.49
17,Michele,Garcia,tyleraguilar@gmail.com,001-944-606-4090,0748 Charles Key Suite 647,East Patrickstad,PR,63836,USA,2022-10-28,22.04
18,Connor,King,robin74@hotmail.com,209.285.9317x4612,23685 Krystal Bridge Suite 817,Danielbury,OR,50442,USA,2023-06-16,58.93
19,David,Medina,fpena@hotmail.com,(515)285-0643x171,USNV Johnson,Wallacebury,AA,28978,USA,2021-04-19,80.94
20,Cameron,Cunningham,alexistyler@gmail.com,001-384-770-0766x1771,0268 Julie Mountains,Gordonton,OR,14794,USA,2022-02-16,0.65
21,Lori,Richards,fjones@gmail.com,258-651-4936,80988 Santiago Loop Suite 604,Lake Timothy,NY,28385,USA,2021-02-10,80.58
22,Pamela,Dorsey,wareeric@hotmail.com,+1-900-834-3244x510,6797 Nelson Throughway Apt. 561,Brandonfurt,NM,69567,USA,2022-05-12,69.81
23,Michele,Mason,christopher13@yahoo.com,732-792-1277x997,4535 Charles Roads,East Curtis,MI,95840,USA,2022-02-25,34.03
24,Jeremy,Turner,colelisa@hotmail.com,666-459-0515x1864,207 Lisa Villages Suite 182,West Nathan,NC,69018,USA,2023-09-14,15.55
25,Brenda,Bailey,elizabethcalderon@hotmail.com,(414)818-8805,"PSC 1685, Box 0542",Leeberg,AE,45292,USA,2022-03-07,95.72
26,Melissa,Weber,smurray@yahoo.com,575.806.0685,92407 Spencer Cove,Port Samuel,KY,59394,USA,2021-07-24,33.66
27,Fernando,Garcia,williamsrobert@hotmail.com,388.788.0670x65405,808 Jennifer Highway Suite 095,New Theresaland,TN,88085,USA,2022-12-02,9.27
28,Nancy,Cook,ihays@yahoo.com,641.661.6928x45115,5054 Lauren Mews,Holtstad,MA,24987,USA,2024-08-29,9.67
29,Jeremy,West,michael90@hotmail.com,494.973.1217,7192 Sanders Run Suite 310,West Kimberlymouth,PW,74120,USA,2021-08-12,84.75
30,Michael,Pierce,jonesraymond@hotmail.com,422-653-5841x4384,9125 Shannon Springs Suite 289,Port Davidberg,NE,66412,USA,2025-05-28,60.37
31,Caroline,David,bmontgomery@yahoo.com,(425)388-1537x1473,3647 Haley Estate Suite 677,Jessicastad,MD,94658,USA,2021-04-19,80.71
32,Sean,Barnes,williamstroy@hotmail.com,+1-891-221-6558x523,62456 Williams Center,Duranview,CA,51140,USA,2021-04-02,72.97
33,Felicia,Wells,tammy99@gmail.com,001-702-783-8578x6527,89623 Ashley Squares Apt. 307,Shawfort,UT,27225,USA,2023-02-12,53.62
34,David,Grant,zhuang@yahoo.com,865-971-2082,41574 Lewis Views Suite 842,Lake Jesse,IA,07154,USA,2024-12-05,97.31
35,Donna,Mitchell,hebertmatthew@yahoo.com,616-712-2753x04637,87431 Martin Mount Suite 205,Wilcoxhaven,HI,80580,USA,2023-06-09,37.85
36,Heather,Young,kathleenbecker@hotmail.com,287-907-2867,519 Bryan Plaza Apt. 982,Lake Brandy,NV,15736,USA,2023-06-28,55.2
37,Rose,Reese,qmiller@hotmail.com,001-210-569-0331x1907,28682 Mary Throughway Apt. 478,Ericborough,IA,60876,USA,2021-03-30,82.94
38,Joshua,Webster,dpeters@yahoo.com,626.834.3517x51830,662 Bennett Throughway Suite 334,Faulknerside,AR,74214,USA,2021-03-15,61.85
39,Pamela,Ramsey,kyle58@yahoo.com,485.247.7725x2287,3556 Anna Forges Apt. 048,Hudsonbury,MA,30650,USA,2025-04-28,86.17
40,Angela,Meyers,hsmith@hotmail.com,201-466-6870,86211 John River Suite 546,West Gabriella,OK,32378,USA,2021-07-27,57.74
41,Matthew,Rivera,evansanne@hotmail.com,335.386.6296x1943,2185 Connor Fort Apt. 599,Kristenmouth,AK,83616,USA,2023-02-23,70.46
42,Rachel,Moore,carterpaul@gmail.com,(346)447-1543x79937,"PSC 3982, Box 6224",Thomasburgh,AA,35681,USA,2023-06-17,4.58
43,Evelyn,Oliver,brittanygardner@hotmail.com,001-368-386-8058,374 Lori Underpass Suite 724,Jonesfort,VT,55961,USA,2022-12-24,22.79
44,Lonnie,Hart,seanmyers@hotmail.com,375.471.7751x40105,0714 Knapp Corner,Stanleyborough,MI,41381,USA,2022-12-10,28.94
45,Erin,Simmons,raylauren@hotmail.com,899-812-5134x1252,1478 Harper Ridge,Port Emily,MI,60513,USA,2022-01-15,7.98
46,John,Medina,kjackson@gmail.com,361.934.0745,43842 Cunningham Trail Suite 881,Port Jenniferside,ND,99694,USA,2021-11-12,23.28
47,Nancy,Norris,taylorkaren@yahoo.com,311.968.4577x590,Unit 2232 Box 5367,Courtneyfurt,AE,76185,USA,2023-11-30,10.1
48,Jennifer,Donaldson,braunronald@hotmail.com,001-438-970-0516,41541 Beck Run Apt. 064,East Thomasberg,VT,12976,USA,2021-06-21,27.8
49,Monica,Garcia,samanthajensen@yahoo.com,+1-543-989-8364x03761,19656 Moody Gateway,Kimberlytown,OH,79275,USA,2021-06-21,63.57
50,Taylor,DVM,joshuacollins@hotmail.com,479-290-4210,Unit 2856 Box 9146,East Christopherchester,AP,31779,USA,2022-04-06,36.48
51,Joseph,Logan,michaelscott@gmail.com,(354)919-5180x23806,80003 Thomas Lights,Walkerbury,PR,05136,USA,2023-04-09,37.02
52,Juan,Smith,usweeney@yahoo.com,+1-761-799-0623x4456,7024 Bradley Fort,New Codyberg,NH,98529,USA,2024-09-19,20.95
53,Tony,Taylor,tanyafoster@gmail.com,(719)394-1013x721,67883 Steven Unions,East Madison,MP,29636,USA,2021-03-25,26.7
54,Thomas,Hamilton,rbrown@yahoo.com,593-604-0785x93213,806 Castillo Tunnel,Nelsontown,NY,42654,USA,2025-05-29,93.67
55,Theresa,Johnston,carolynsmith@yahoo.com,452-826-7528x9539,52500 Brenda Divide,Willismouth,CA,49468,USA,2023-06-24,64.8
56,Nicholas,Rush,julie35@yahoo.com,(567)465-8617,570 Clark Square,South Samuelchester,VA,00668,USA,2024-09-15,60.91
57,Amanda,Smith,donna43@gmail.com,941.986.2565x2704,05061 Colon Road Suite 310,West Kristenfort,CO,62572,USA,2023-02-09,17.11
58,Kristy,Hernandez,fostermelissa@gmail.com,268-868-5487,72233 Brad Common,Luisland,MP,78495,USA,2021-10-28,72.91
59,Keith,Aguilar,hannah07@yahoo.com,(414)586-2890,4713 Kevin Summit Suite 546,Lorihaven,WA,64000,USA,2022-07-29,16.34
60,Joyce,Hull,kaitlyn14@gmail.com,346-265-7437x4896,33468 Michelle Trafficway,West Charlene,PA,01610,USA,2025-03-21,37.95
61,Kirk,Campbell,cprice@hotmail.com,(648)825-1353,Unit 3538 Box 7584,West Connor,AE,86695,USA,2023-09-08,98.95
62,Edward,York,tthomas@gmail.com,+1-535-505-8300,250 Shannon Fords Apt. 927,Reyeston,MO,56734,USA,2023-10-18,64.0
63,James,Chapman,ryan25@yahoo.com,001-689-909-0100x16761,0332 Jessica Radial,Mcdowellview,SD,05398,USA,2022-03-03,55.69
64,Lorraine,Turner,michaelortiz@gmail.com,+1-837-344-7012x0455,753 Alexander Corners,Lake Jenniferview,FL,12308,USA,2021-09-04,68.46
65,Brenda,Holland,danielhorton@gmail.com,+1-550-989-9358x8916,797 Cheryl Tunnel Suite 902,Williamsview,FM,54408,USA,2023-10-23,84.29
66,Ronald,Mcclain,csolis@gmail.com,550-237-5899x75711,0166 Angela Alley,Lake Emily,FM,67129,USA,2023-10-09,77.6
67,Vincent,Carter,gbarrett@gmail.com,(793)546-5472x26984,697 Heather Extensions,Williamfurt,PA,79951,USA,2022-07-30,22.9
